gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atp6v1g2	56.2218104349353	1.03096541594629	0.646299964918225	1.59518098701543	0.11067176917872	0.185039030374424
Olfr1112	8.15337736744396	-1.75910975224219	1.10274597562092	-1.5952084987222	0.110665618901678	0.185039030374424
Rngtt	748.977375119594	0.429028718902069	0.268939807224508	1.59525926388398	0.110654270993708	0.185039030374424
Fbxo16	7.15052506564664	-1.75622643403485	1.10118798573858	-1.59484707132627	0.110746437977014	0.185145716912151
Myo18a	1377.67171194527	-0.393089427124	0.246508007303993	-1.59463147434088	0.110794669983356	0.185208189876089
Abca17	22.9582402846963	-1.40466156100665	0.881062268398445	-1.59428182477951	0.110872926652245	0.185302669002463
Rnf146	705.374083744373	-0.43190581986033	0.270903718957	-1.59431484190472	0.110865535072855	0.185302669002463
Pvr	81.2387432348783	-0.890767874393495	0.558751452292877	-1.59421129151104	0.110888718314501	0.18531089576004
Ahdc1	1644.80361646345	0.430098465898668	0.269798182897929	1.5941488607482	0.11090269739187	0.18531490966213
Cyp2b19	10.6830442406071	-1.69270296753186	1.06185262579189	-1.59410348142193	0.110912859299218	0.18531490966213
Akr1c21	4.93734983033424	-1.7765618489873	1.1146047804549	-1.59389397940877	0.110959783146758	0.185320831120849
Ccdc36	31.4136252808175	-1.34696229682344	0.845128158167305	-1.59379649560415	0.110981622719448	0.185320831120849
E230025N22Rik	5.51290829116681	-1.77726428678514	1.11508621536036	-1.59383576113062	0.110972825544275	0.185320831120849
Iapp	4.93734983033424	-1.7765618489873	1.1146047804549	-1.59389397940877	0.110959783146758	0.185320831120849
Rtl1	4.93734983033424	-1.7765618489873	1.1146047804549	-1.59389397940877	0.110959783146758	0.185320831120849
Vmn2r118	6.20540506963042	-1.77647538795373	1.11456370481024	-1.59387514620008	0.110964002139356	0.185320831120849
F13a1	49.8054869831837	-1.114176464141	0.69912467207642	-1.59367350151134	0.111009182275944	0.18534869734821
Fam221a	72.7809776103115	0.980879085732594	0.615600664202717	1.59336911535494	0.111077409981334	0.185444453855441
1700021F05Rik	175.463436545337	0.640717731996529	0.402144160444156	1.59325385028313	0.111103255115654	0.185469440562694
Vmn2r100	111.624375581431	-0.821871665623806	0.515894346972127	-1.59310073941983	0.111137593505239	0.185508599145371
Nr0b2	6.25669376998225	-1.77238241348667	1.11272243629669	-1.59283425558078	0.111197378190459	0.185590220339612
2810021J22Rik	200.651913622375	-0.622868204054229	0.391107489672721	-1.59257549523136	0.111255454427728	0.185638622144079
Alg13	133.867687606708	0.759594109648183	0.476938063093788	1.59264728153771	0.111239340292215	0.185638622144079
Angptl3	9.47331503941902	-1.73793842836033	1.09128633659545	-1.59255950531029	0.11125904399485	0.185638622144079
Ccl28	16.6213420835114	-1.53683184111707	0.965053372749642	-1.59248377811303	0.111276045186368	0.185648820274233
Plscr3	207.227656213482	0.633798380823867	0.398008012740288	1.59242618373474	0.111288976828394	0.185652227587797
Oma1	330.568472827611	0.534182834075012	0.335485489995082	1.59226807121477	0.11132448386507	0.185656962282654
Vmn1r196	5.13927807986206	-1.77636722121663	1.11561542965791	-1.59227559425325	0.111322794227649	0.185656962282654
Zmat3	188.730877470289	-0.679434828742242	0.426702816718781	-1.59229047037209	0.111319453184146	0.185656962282654
F2	7.07579902338569	-1.75239116662975	1.10071177417566	-1.59205271329285	0.111372860777793	0.185701310846025
Rrp8	491.843412363223	0.481705737859326	0.30256541649686	1.59207137232198	0.111368668651651	0.185701310846025
Itpripl2	12.7204488380214	-1.59532925523561	1.0021029161871	-1.59198145167133	0.111388872280244	0.185709845834723
Fam71d	8.34326053035482	-1.73705740548391	1.09134223037549	-1.59167065759588	0.111458724657264	0.185774677777899
Nlrp4f	6.95325922456695	-1.77610698256133	1.1158813090036	-1.59166299160191	0.111460448060891	0.185774677777899
Olfr640	8.34326053035482	-1.73705740548391	1.09134223037549	-1.59167065759588	0.111458724657264	0.185774677777899
Atg14	219.148032079678	-0.613545031752727	0.385529970644904	-1.591432776877	0.111512212777818	0.185842787453472
Nub1	1489.50419216324	0.39902000481615	0.25075000074786	1.59130609621565	0.111540705530094	0.185868045445564
Ubqln4	689.208312974897	0.463961521247894	0.291567094980716	1.59126845667746	0.111549172444074	0.185868045445564
Pcif1	2743.49307424807	0.362004105962817	0.227571422795586	1.5907274363178	0.111670929576726	0.186052739016281
Igsf3	49.9387662059698	-1.0772830393166	0.677334913544312	-1.59047321756894	0.111728177940623	0.186129930204191
Ankmy1	13.7563495400389	-1.61313812677513	1.01445613887731	-1.59015068759934	0.111800842855138	0.186232786500952
Zfp619	117.452478912139	-0.788992638242076	0.496440427575741	-1.58929973148027	0.111992739349689	0.186534213869954
Pim3	447.347147031352	-0.477900785961335	0.300732987486369	-1.58911993644527	0.112033317599693	0.186562405674479
Sgsm2	64.1474197908718	-0.947945859422189	0.596525201382871	-1.58911284422628	0.112034918492475	0.186562405674479
Wnk2	13.3405070533641	-1.62509769403532	1.0226662115367	-1.58907928677274	0.112042493501143	0.186562405674479
B4galt3	717.835777955341	-0.443833367317821	0.27943165476745	-1.58834319500126	0.112208754989287	0.186821002325425
Wbp4	1064.95362085336	0.384265294788029	0.241950329710509	1.5881990954416	0.112241325603602	0.186856982737605
Tmem140	161.807627173306	-0.689117215389431	0.434084772059011	-1.58751759966312	0.112395464121888	0.187095320036524
Rhox4d	12.187322693303	-1.70059162526392	1.07143422390195	-1.58721047669235	0.112464982738533	0.187192764884238
Gpr19	67.021041576165	-0.950127186078778	0.598732088890062	-1.58689872099579	0.112535584660037	0.187291993642031
Phyhd1	56.4453651312063	-1.01336782562332	0.638759875055872	-1.5864613060341	0.112634702975319	0.187438657982061
Gm49320	12.4662928154022	-1.67755102119308	1.0576102334695	-1.58617132106395	0.112700451552035	0.187529767568871
Glo1	942.788277429377	-0.412106419343324	0.259823534948631	-1.58610119527779	0.112716355781973	0.187537928147444
Emc10	1375.6992988878	0.405987010336902	0.25599768102977	1.58590112497812	0.112761740598574	0.187595132266305
Ctdspl	8.24569087851181	-1.72152820833539	1.08566191670803	-1.58569457198559	0.11280861108752	0.187618184609417
Tbccd1	486.452604268792	0.462872210804967	0.291903339236344	1.58570371964877	0.112806534997735	0.187618184609417
Ttc21a	4.86262378807329	-1.76739647257039	1.11453952076653	-1.58576384205277	0.112792890785953	0.187618184609417
Hmox1	221.796188655514	0.826122537568273	0.521139436839621	1.58522360652301	0.11291553881509	0.187722771453776
Olfr1170	8.32041692077275	-1.7228988189768	1.08678345276333	-1.58531933348455	0.112893798555555	0.187722771453776
Olfr285	24.0305624879794	-1.39017558842073	0.876950108442478	-1.5852390860522	0.112912023082609	0.187722771453776
Tmem114	5.16152795711709	-1.76558467569272	1.11377070710454	-1.58523173973815	0.112913691577051	0.187722771453776
Smyd4	470.668783118558	0.468783946618565	0.295825851257078	1.58466186990258	0.11304317960866	0.18791665065796
Gm20852	5.16975275952748	-1.72120096754987	1.08645324974339	-1.58423840874553	0.113139475853885	0.188021729586986
Gm21497	5.16975275952748	-1.72120096754987	1.08645324974339	-1.58423840874553	0.113139475853885	0.188021729586986
Tcf20	460.029382595045	0.4638014902203	0.29274583491486	1.58431456541539	0.11312215285008	0.188021729586986
Cdkal1	411.11644836544	-0.478477260121063	0.302095233110186	-1.58386233107672	0.113225051142502	0.188145603989133
Uchl1	11.2007990660873	1.63237383402377	1.0308293900789	1.58355383512962	0.11329528649021	0.18823753099158
Zfp780b	349.588275066075	-0.533204700511694	0.33672066391291	-1.58352236039069	0.113302454280931	0.18823753099158
Slc25a21	14.9183240836669	-1.64307754652984	1.03790337367712	-1.58307371206308	0.113404664500685	0.188388982273428
Dock10	14980.6202205454	-0.313859502976762	0.198312409167892	-1.58265185871978	0.113500836580579	0.188530374402015
Pdxdc1	972.24823471387	0.394719836085704	0.249521849224133	1.58190490056503	0.113671282049091	0.188795098651238
Khdrbs3	10.757770282868	-1.68536938066425	1.0655087097716	-1.58175091879401	0.113706443597344	0.188835101976536
Dusp9	7.12827518839162	-1.7365259983316	1.09801402996753	-1.58151530940178	0.113760261292166	0.188906077215364
AW549877	970.330475641633	-0.506792288997319	0.320593717435402	-1.58079295206225	0.11392538656811	0.18908819271804
Csta1	10.1074857797745	-1.67534232785016	1.05974189909559	-1.58089656479557	0.113901689915367	0.18908819271804
Klhl11	44.2618099097925	1.11890109986661	0.707776088922747	1.58086874843371	0.113908051249115	0.18908819271804
Ptpra	2122.36893138555	0.349394251599858	0.22102120276861	1.58081780038833	0.113919703301254	0.18908819271804
Tspyl1	1439.30181510297	0.404959078933236	0.256149365075361	1.58094898581573	0.113889702493818	0.18908819271804
Resf1	2353.93513365804	0.339247806162373	0.214618803747576	1.58069936202505	0.113946794326096	0.189105314559097
Acrbp	148.850607574049	-0.691258363963729	0.437348564641411	-1.58056621159945	0.113977256574319	0.189137458374106
Gusb	937.455718091321	0.405885834243054	0.256849227664359	1.58024938573477	0.114049765998979	0.189239363553926
Ado	411.078436180611	0.527605048301566	0.333923379126662	1.58001829545884	0.114102676700344	0.189269445008981
Olfr348	8.59707121256153	-1.71646232648861	1.08638487851217	-1.57997626848355	0.114112301322501	0.189269445008981
Olfr498	5.06455203760111	-1.7625312838298	1.11551236266622	-1.58001949849943	0.114102401200726	0.189269445008981
Prl5a1	5.06455203760111	-1.7625312838298	1.11551236266622	-1.58001949849943	0.114102401200726	0.189269445008981
Kctd21	40.6829846892354	-1.16811715672834	0.739360659016458	-1.57990169274389	0.114129381529458	0.189279360476238
Rax	11.9631445665202	-1.68960551316907	1.06988551754917	-1.57923954054404	0.114281123641226	0.189512584083189
Rbms2	362.823020186445	-0.522009427178452	0.330675107595304	-1.57861724450487	0.114423876826767	0.189730857422637
Asb17	15.7321731962952	-1.58422279205311	1.00359439602422	-1.57854886229842	0.114439572091706	0.189734214398326
Bcdin3d	263.599423080541	-0.557581063493444	0.353232193610223	-1.57851145388155	0.114448158887465	0.189734214398326
Eml3	1219.17486019053	0.389174898813973	0.246600754865548	1.5781577758193	0.114529367852476	0.18985038332687
Isg15	93.4919876390507	-0.877881370736843	0.556502540698157	-1.57749750726295	0.114681095223242	0.190052117439072
Riok2	441.003432998412	0.488926157922251	0.30994030934517	1.5774849000933	0.114683993844138	0.190052117439072
Slc9c1	9.34085669137697	-1.68851243708373	1.07038414922699	-1.57748266199863	0.11468450842942	0.190052117439072
Calcr	8.62923963903986	-1.760440527761	1.11603573654395	-1.57740515838013	0.114702329270656	0.190063175404356
Herc1	2232.18258881241	-0.415455460494047	0.263429110113833	-1.57710535602736	0.114771285021943	0.190158954163178
Ttc38	320.161745046632	-0.515638485298729	0.326965699414954	-1.57704152521616	0.114785970576639	0.190164805399001
Yipf1	697.684604525358	0.413491862427493	0.26228627152663	1.57649067951889	0.114912765084041	0.190356367267569
Frmpd2	6.05595298510852	-1.75645180968837	1.11471589423231	-1.57569459516679	0.115096203652748	0.190623602310841
Zfp449	13.6338097412202	-1.65168431788748	1.04822688305682	-1.57569353026978	0.11509644918692	0.190623602310841
Dnajc12	92.0603985380471	-0.906570155343495	0.575414506581891	-1.57550799462591	0.115139234580889	0.190675940783835
Gm7102	80.7391410247115	-0.903575366957796	0.573598479703948	-1.57527503807918	0.115192973171528	0.19074640633269
Cd72	4760.7096847277	-0.339391429310078	0.215463511388555	-1.57516893288738	0.115217456134183	0.190768418921208
Gm6169	111.522802124429	0.920068990042999	0.5842873041376	1.57468591825901	0.115328959792847	0.190934495582468
Faim	487.509087300521	0.485849965624061	0.308703390364134	1.5738407182732	0.115524277883311	0.19123928669119
Muc6	14.1818621840225	-1.60757229501346	1.02197642708592	-1.57300330262736	0.115718053488678	0.191541465429948
Pias2	697.982275799169	0.444468024201016	0.282569081460033	1.57295349478596	0.115729586927682	0.191541959764105
Pcid2	847.358273459082	0.438892951219138	0.279076483577526	1.57266189394713	0.11579712777144	0.191635141853551
Commd7	1172.0831664288	0.380893539477266	0.242261140292204	1.57224365004578	0.115894055880154	0.191771075682083
Rnf145	3222.32058848151	0.392975598278264	0.24995102262514	1.57221040406633	0.115901763377804	0.191771075682083
St3gal6	557.617254100208	-0.451650316187626	0.287354643154486	-1.57175228223061	0.11600801192712	0.191928247971418
Tnni2	71.6525104012324	0.909408183236913	0.578713428816991	1.57143093274322	0.116082585622781	0.192014359394858
Ttc4	763.027368139343	0.408180120678867	0.259744481965698	1.57146791951011	0.116074000402138	0.192014359394858
Olfr48	9.66260447000283	-1.70005930469605	1.0819485956576	-1.57129397045224	0.116114381108176	0.19204832009248
Gm50388	31.2621719585704	-1.24082653787337	0.789738307442369	-1.57118696937962	0.116139225926181	0.192070779204138
Gldc	27.9267933250212	-1.34114287247929	0.853711685032739	-1.57095527212781	0.116193038544871	0.192103870650845
Rspry1	1141.5489313029	-0.408052333747873	0.25974199714901	-1.57099097653346	0.116184744776306	0.192103870650845
Scaf1	642.951495386482	0.441049929184251	0.280751756227679	1.57096053506635	0.116191815988799	0.192103870650845
Grin3b	11.7659043443673	1.60564676312555	1.02267773166246	1.57004177700772	0.116405392381551	0.192436297363818
Gm14569	12.2444021677593	-1.69554051849609	1.08002693163215	-1.56990577626964	0.116437033583536	0.192469942366269
Zscan26	382.851384400044	-0.49891710011137	0.317825154202005	-1.56978481254591	0.116465182031564	0.192497807896862
Stat2	2106.13404229874	-0.370084624320714	0.235781523487982	-1.569608249391	0.116506278150208	0.192547066322498
Kptn	313.279647091013	0.520743700985436	0.331799127807729	1.56945470118052	0.116542026664691	0.19258747820164
Tpbg	16.7257006811962	-1.51181543958889	0.963331112757321	-1.5693622053394	0.116563565355361	0.192604402572547
Cpt1b	50.2552616884284	1.10737687083915	0.705695031109675	1.5692003231167	0.116601268965756	0.192648031262445
Dok1	684.192611484668	0.422289786051293	0.269192202009268	1.56872963963775	0.116710949176131	0.192791877967624
Ivns1abp	5571.77042406544	0.437075437751314	0.278609533589832	1.56877416260556	0.116700570819232	0.192791877967624
Rexo1	1904.53978603201	0.354710672668441	0.22615998322316	1.56840599125105	0.116786413790172	0.192897846222499
Gm5724	6.75811992088092	-1.7464147009919	1.11375012466297	-1.56804893873335	0.116869711648917	0.192998035054474
Snph	6.75811992088092	-1.7464147009919	1.11375012466297	-1.56804893873335	0.116869711648917	0.192998035054474
Ccl27a	31.203043328322	1.22795401118914	0.783232843473908	1.56780199071165	0.116927350186289	0.193070612577921
Npy1r	26.6235040491135	-1.36113448549503	0.868226806494359	-1.56771764625753	0.116947041591997	0.193070612577921
Pcdhb7	17.0169359306564	-1.6282084399225	1.03858694201884	-1.56771510794998	0.116947634236154	0.193070612577921
Chmp2b	558.191445952064	0.457650012205851	0.291942591980414	1.56760275745087	0.116973868197988	0.193094074429354
Grin2a	45.2865795038271	-1.17636150422885	0.750442454275251	-1.56755724243364	0.116984497318364	0.193094074429354
Ak8	9.11667856459412	-1.67437194460511	1.0682700806964	-1.56736763002254	0.117028785659036	0.193111088530865
Msx2	9.11667856459412	-1.67437194460511	1.0682700806964	-1.56736763002254	0.117028785659036	0.193111088530865
Ust	11.6190878116415	-1.62927157972416	1.03949136200999	-1.56737385154769	0.117027332269839	0.193111088530865
Phf2	705.347024855818	0.468577020136461	0.298976434515932	1.56727074792743	0.117051419782439	0.193129745076047
Rfx3	237.626487512992	-0.614589174174995	0.392248391186226	-1.56683669833896	0.117152867012247	0.193278423620263
Stk38	2964.94021241389	0.353809985749104	0.225909983307796	1.56615471600053	0.117312401167054	0.193522895742341
Fzd4	6.83284596314186	-1.74413484629999	1.11408042084275	-1.56553765210291	0.11745689605287	0.193732669249002
Xlr3a	32.9645300254172	-1.33431167829875	0.852315052149877	-1.56551462388595	0.117462291162352	0.193732669249002
